"Country","Year","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Guam","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Puerto Rico","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Afghanistan","2022","4","0","175","3","4366","209","80","8","15","93","209","0","0","68","140","18","18","15","47","6","20","300","89","101","25","0","78","0","78","60","5","107","68","436","112","14","148","6","101","124","0","4","7","4","58","1155","61","0","1803","457","0","30","0"
"Albania","2022","0","0","35","3","84","4","219","7","7","460","27","0","0","0","229","10","0","3","4","0","0","25","552","614","8","0","36","0","0","16","13","340","0","1063","22","0","108","5","10","322","0","4","13","0","6","134","4","0","62","40","0","78","0"
"Algeria","2022","0","0","11","3","273","53","20","0","6","57","19","0","0","0","158","63","3","114","26","14","0","21","101","21","8","0","10","0","0","7","3","134","0","207","29","0","166","5","4","275","0","0","8","0","3","167","0","0","70","28","0","12","0"
"American Samoa","2022","0","17","0","0","35","0","0","0","0","0","3","0","26","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","10","0","0","0","0","0","0","9","37","0","4","50","0","0","0"
"Antigua and Barbuda","2022","0","0","0","0","13","4","6","0","0","24","9","0","0","0","3","0","0","0","0","0","4","8","41","0","0","0","0","0","0","0","0","22","0","8","4","0","9","0","0","12","0","0","0","0","0","26","0","0","4","3","0","0","0"
"Angola","2022","0","0","0","0","4","0","13","4","0","49","26","0","0","0","3","0","0","0","0","0","0","10","13","3","0","0","0","0","0","0","0","24","0","172","6","0","0","0","0","16","0","4","3","0","3","18","0","0","5","0","0","3","0"
"Argentina","2022","15","0","26","18","544","44","58","6","21","1296","95","0","21","5","76","16","8","0","6","8","0","69","71","19","16","0","14","0","3","39","5","247","5","385","50","0","32","8","43","73","36","4","15","0","23","455","70","4","86","58","0","29","0"
"Armenia","2022","0","0","23","0","2070","14","4","0","0","29","4","0","0","4","19","3","0","0","0","0","0","21","62","10","3","0","6","0","0","57","3","51","0","157","8","0","16","0","6","28","0","3","5","0","0","34","12","0","24","31","0","0","0"
"Australia","2022","6","6","40","9","512","68","27","3","11","130","44","0","21","13","68","16","10","10","13","3","10","29","66","31","20","0","20","4","4","36","8","74","9","228","30","0","22","4","50","38","0","0","26","0","29","190","32","6","45","145","0","21","4"
"Austria","2022","0","0","4","0","45","0","0","0","0","21","6","0","0","3","8","3","0","0","0","0","0","5","4","4","3","0","0","0","0","0","0","8","0","14","3","0","0","0","0","6","0","0","0","0","3","17","3","0","9","10","0","3","0"
"Azerbaijan","2022","0","0","6","0","152","8","7","0","3","38","13","0","0","0","34","0","0","10","4","0","0","23","34","6","4","0","0","0","0","5","0","18","0","140","8","0","16","0","3","25","0","0","0","0","4","80","0","0","40","38","0","3","0"
"Bahamas","2022","5","0","4","0","14","5","4","5","0","386","79","0","0","0","6","4","0","0","3","3","0","9","12","0","4","0","0","0","0","0","0","9","0","36","26","0","6","6","3","11","0","0","8","0","5","54","0","0","15","8","0","6","0"
"Bahrain","2022","0","0","4","0","25","0","3","0","0","4","6","0","0","0","9","0","0","0","0","0","0","0","4","6","0","0","0","0","0","4","0","9","0","11","0","0","3","0","0","6","0","0","0","0","0","13","0","0","4","6","0","3","0"
"Bangladesh","2022","30","3","55","20","631","27","212","39","12","421","395","0","4","0","101","46","14","23","8","16","0","287","232","939","42","0","30","0","3","19","3","978","5","7222","66","3","73","45","51","453","0","8","15","0","34","803","7","0","566","121","4","22","0"
"Barbados","2022","0","0","0","0","15","3","11","6","0","77","46","0","0","0","5","4","0","0","0","0","0","24","44","0","0","0","0","0","0","0","0","61","0","250","11","0","4","0","0","34","0","0","5","0","0","20","0","0","9","5","0","3","0"
"Belarus","2022","12","0","14","0","375","36","22","14","4","172","41","0","5","6","122","8","5","0","8","3","4","39","89","14","48","0","12","0","0","12","6","134","0","342","45","0","28","0","39","128","0","0","36","0","6","70","4","0","43","181","0","8","0"
